dataset,score,num_clusters,method,trial
romanov_brain.h5ad,0.4137476644122014,13,spectral,3
romanov_brain.h5ad,0.5784186415827614,13,kmeans,3
romanov_brain.h5ad,0.017662805981027055,13,gm,3
romanov_brain.h5ad,0.41130383579537344,14,spectral,3
romanov_brain.h5ad,0.5094034179869489,14,kmeans,3
romanov_brain.h5ad,0.017662805981027055,14,gm,3
romanov_brain.h5ad,0.4259815852942766,15,spectral,3
romanov_brain.h5ad,0.4353500643056159,15,kmeans,3
romanov_brain.h5ad,0.017662805981027055,15,gm,3
romanov_brain.h5ad,0.42956728457042903,16,spectral,3
romanov_brain.h5ad,0.4577491419969926,16,kmeans,3
romanov_brain.h5ad,0.017662805981027055,16,gm,3
romanov_brain.h5ad,0.4192682327573867,17,spectral,3
romanov_brain.h5ad,0.5628099866325235,17,kmeans,3
romanov_brain.h5ad,0.017662805981027055,17,gm,3
romanov_brain.h5ad,0.40685847271324566,18,spectral,3
romanov_brain.h5ad,0.5547599370817704,18,kmeans,3
romanov_brain.h5ad,0.017662805981027055,18,gm,3
romanov_brain.h5ad,0.3949914176474226,19,spectral,3
romanov_brain.h5ad,0.43633458486852744,19,kmeans,3
romanov_brain.h5ad,0.017662805981027055,19,gm,3
romanov_brain.h5ad,0.4524886569297439,10,spectral,4
romanov_brain.h5ad,0.7207009203768316,10,kmeans,4
romanov_brain.h5ad,0.017662805981027055,10,gm,4
romanov_brain.h5ad,0.4063692788561245,11,spectral,4
romanov_brain.h5ad,0.719195472513677,11,kmeans,4
romanov_brain.h5ad,0.017662805981027055,11,gm,4
romanov_brain.h5ad,0.44538254642993147,12,spectral,4
romanov_brain.h5ad,0.558724693909698,12,kmeans,4
romanov_brain.h5ad,0.017662805981027055,12,gm,4
romanov_brain.h5ad,0.41530344271751296,13,spectral,4
romanov_brain.h5ad,0.5784186415827614,13,kmeans,4
romanov_brain.h5ad,0.017662805981027055,13,gm,4
romanov_brain.h5ad,0.4112927179058016,14,spectral,4
romanov_brain.h5ad,0.5094034179869489,14,kmeans,4
romanov_brain.h5ad,0.017662805981027055,14,gm,4
romanov_brain.h5ad,0.4256935710368193,15,spectral,4
romanov_brain.h5ad,0.4353500643056159,15,kmeans,4
romanov_brain.h5ad,0.017662805981027055,15,gm,4
romanov_brain.h5ad,0.41826153785699094,16,spectral,4
romanov_brain.h5ad,0.4577491419969926,16,kmeans,4
romanov_brain.h5ad,0.017662805981027055,16,gm,4
romanov_brain.h5ad,0.42092073125630375,17,spectral,4
romanov_brain.h5ad,0.5628099866325235,17,kmeans,4
romanov_brain.h5ad,0.017662805981027055,17,gm,4
romanov_brain.h5ad,0.4042930830612873,18,spectral,4
romanov_brain.h5ad,0.5547599370817704,18,kmeans,4
romanov_brain.h5ad,0.017662805981027055,18,gm,4
romanov_brain.h5ad,0.34965784860923765,19,spectral,4
romanov_brain.h5ad,0.43633458486852744,19,kmeans,4
romanov_brain.h5ad,0.017662805981027055,19,gm,4
zhong_prefrontal.h5ad,0.09351917192603446,10,spectral,0
zhong_prefrontal.h5ad,0.5269395246947791,10,kmeans,0
zhong_prefrontal.h5ad,0.13245717507282434,10,gm,0
zhong_prefrontal.h5ad,0.11129773049810908,11,spectral,0
zhong_prefrontal.h5ad,0.24880477847141597,11,kmeans,0
zhong_prefrontal.h5ad,0.13245717507282434,11,gm,0
zhong_prefrontal.h5ad,0.14194171921555135,12,spectral,0
zhong_prefrontal.h5ad,0.2979382213728307,12,kmeans,0
zhong_prefrontal.h5ad,0.13245717507282434,12,gm,0
zhong_prefrontal.h5ad,0.1424301954073249,13,spectral,0
